Testing
Layout,mediumMaze,function,"bfs,prob=PositionSearchProblem"
Nodes Expanded,91
Average Score,475.0
Win Rate,1.0
Layout,bigMaze10,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,148
Time Taken,0.11271500587463379
Nodes Expanded,531
Average Score,362.0
Win Rate,1.0
Layout,bigMaze10,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,148
Time Taken,0.07965493202209473
Nodes Expanded,371
Average Score,362.0
Win Rate,1.0
Layout,bigMaze10,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,148
Time Taken,0.1550889015197754
Nodes Expanded,531
Average Score,362.0
Win Rate,1.0
Layout,bigMaze10,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,148
Time Taken,0.11858749389648438
Nodes Expanded,491
Average Score,362.0
Win Rate,1.0
Layout,bigMaze10,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,148
Time Taken,0.7053735256195068
Nodes Expanded,584
Average Score,362.0
Win Rate,1.0
Layout,contoursMaze1,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,13
Time Taken,0.015990495681762695
Nodes Expanded,170
Average Score,497.0
Win Rate,1.0
Layout,contoursMaze1,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,85
Time Taken,0.002975940704345703
Nodes Expanded,85
Average Score,425.0
Win Rate,1.0
Layout,contoursMaze1,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,13
Time Taken,0.012883901596069336
Nodes Expanded,170
Average Score,497.0
Win Rate,1.0
Layout,contoursMaze1,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,13
Time Taken,0.002009868621826172
Nodes Expanded,49
Average Score,497.0
Win Rate,1.0
Layout,contoursMaze1,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,13
Time Taken,0.011103391647338867
Nodes Expanded,41
Average Score,497.0
Win Rate,1.0
Layout,contoursMaze2,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,12
Time Taken,0.005980014801025391
Nodes Expanded,159
Average Score,498.0
Win Rate,1.0
Layout,contoursMaze2,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,104
Time Taken,0.009151697158813477
Nodes Expanded,205
Average Score,406.0
Win Rate,1.0
Layout,contoursMaze2,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,12
Time Taken,0.014022111892700195
Nodes Expanded,159
Average Score,498.0
Win Rate,1.0
